,text_recessie_gold,text_recessie,text_boukes_gold,text_boukes,text_LIWC_gold,text_LIWC,text_sentistrength_gold,text_sentistrength,text_pattern_gold,text_pattern,text_polyglot_gold,text_polyglot,text_DANEW_gold,text_DANEW,text_top4_gold,text_top4,text_top3_gold,text_top3,text_top2_gold,text_top2,text_top1_gold,text_top1
0,1,0,1,1,1,0,1,0,1,1,1,0,1,-1,1,0,1,0,1,0,1,0
1,1,0,1,0,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0
2,1,0,1,0,1,0,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,0
3,1,0,1,0,1,1,1,-1,1,1,1,1,1,0,1,0,1,0,1,1,1,1
4,1,0,1,0,1,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1
5,-1,0,-1,0,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1
6,1,0,1,0,1,1,1,0,1,0,1,0,1,0,1,0,1,0,1,1,1,1
7,-1,0,-1,-1,-1,-1,-1,0,-1,0,-1,0,-1,1,-1,0,-1,-1,-1,-1,-1,-1
8,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1
9,-1,0,-1,-1,-1,0,-1,0,-1,1,-1,-1,-1,1,-1,0,-1,-1,-1,-1,-1,0
10,1,0,1,0,1,0,1,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0
11,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,1,1,1
12,1,0,1,1,1,1,1,0,1,-1,1,0,1,0,1,0,1,0,1,1,1,1
13,1,0,1,0,1,0,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,0
14,1,0,1,1,1,0,1,0,1,-1,1,0,1,0,1,0,1,0,1,0,1,0
15,1,0,1,0,1,-1,1,-1,1,0,1,0,1,-1,1,-1,1,-1,1,-1,1,-1
16,1,0,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1
17,1,0,1,0,1,1,1,0,1,-1,1,1,1,1,1,1,1,1,1,1,1,1
18,1,0,1,0,1,0,1,0,1,0,1,-1,1,-1,1,-1,1,-1,1,-1,1,0
19,-1,0,-1,0,-1,0,-1,0,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,0
20,-1,0,-1,-1,-1,0,-1,1,-1,-1,-1,-1,-1,-1,-1,0,-1,0,-1,-1,-1,0
21,-1,0,-1,0,-1,0,-1,1,-1,0,-1,-1,-1,-1,-1,0,-1,0,-1,-1,-1,0
22,-1,0,-1,0,-1,-1,-1,-1,-1,1,-1,0,-1,-1,-1,-1,-1,-1,-1,0,-1,-1
23,1,0,1,0,1,1,1,0,1,0,1,1,1,0,1,1,1,1,1,1,1,1
24,1,0,1,1,1,0,1,0,1,-1,1,0,1,-1,1,-1,1,0,1,0,1,0
25,1,0,1,0,1,0,1,1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,0
26,-1,0,-1,0,-1,-1,-1,1,-1,1,-1,-1,-1,1,-1,0,-1,-1,-1,-1,-1,-1
27,1,0,1,1,1,0,1,1,1,-1,1,0,1,0,1,0,1,0,1,0,1,0
28,1,0,1,0,1,0,1,0,1,0,1,0,1,1,1,0,1,0,1,0,1,0
29,1,0,1,0,1,-1,1,0,1,0,1,-1,1,0,1,-1,1,-1,1,-1,1,-1
30,-1,0,-1,0,-1,0,-1,1,-1,-1,-1,0,-1,-1,-1,0,-1,0,-1,0,-1,0
31,-1,0,-1,-1,-1,-1,-1,0,-1,0,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
32,-1,0,-1,0,-1,1,-1,1,-1,1,-1,0,-1,1,-1,1,-1,1,-1,1,-1,1
33,1,0,1,0,1,-1,1,1,1,0,1,-1,1,0,1,0,1,0,1,-1,1,-1
34,-1,0,-1,-1,-1,-1,-1,1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
35,-1,0,-1,0,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1
36,-1,0,-1,-1,-1,0,-1,0,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,0,-1,0
37,1,0,1,0,1,-1,1,1,1,0,1,-1,1,0,1,0,1,-1,1,-1,1,-1
38,-1,0,-1,0,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1
39,-1,0,-1,0,-1,1,-1,0,-1,0,-1,1,-1,0,-1,1,-1,1,-1,1,-1,1
40,1,0,1,0,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1
41,1,0,1,0,1,0,1,-1,1,1,1,0,1,1,1,0,1,-1,1,0,1,0
42,-1,0,-1,0,-1,0,-1,0,-1,-1,-1,1,-1,-1,-1,0,-1,0,-1,1,-1,0
43,-1,0,-1,-1,-1,-1,-1,-1,-1,1,-1,0,-1,-1,-1,-1,-1,-1,-1,0,-1,-1
44,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,-1,0,-1,0,-1,0,-1,1,-1,0,-1,0,-1,1,-1,1,-1,1,-1,0,-1,0
46,-1,0,-1,0,-1,0,-1,1,-1,-1,-1,-1,-1,0,-1,0,-1,0,-1,-1,-1,0
47,-1,0,-1,0,-1,-1,-1,1,-1,-1,-1,1,-1,-1,-1,0,-1,0,-1,0,-1,-1
48,1,0,1,-1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,0
49,-1,0,-1,1,-1,0,-1,0,-1,0,-1,0,-1,1,-1,0,-1,0,-1,0,-1,0
50,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
51,1,0,1,0,1,-1,1,0,1,1,1,1,1,-1,1,-1,1,0,1,0,1,-1
52,1,0,1,0,1,1,1,-1,1,0,1,1,1,-1,1,-1,1,0,1,1,1,1
53,1,0,1,0,1,0,1,-1,1,-1,1,1,1,0,1,0,1,0,1,1,1,0
54,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,0,-1,-1,-1,-1,-1,-1,-1,-1
55,1,0,1,-1,1,0,1,-1,1,0,1,-1,1,1,1,-1,1,-1,1,-1,1,0
56,1,0,1,0,1,0,1,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0
57,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
58,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,0,-1,0,-1,-1,-1,-1,-1,-1,-1,-1
59,1,0,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1
60,1,0,1,0,1,1,1,-1,1,0,1,0,1,0,1,0,1,0,1,0,1,1
61,-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
62,1,0,1,0,1,0,1,1,1,0,1,0,1,-1,1,0,1,1,1,1,1,0
63,0,0,0,-1,0,0,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0
64,1,0,1,1,1,0,1,0,1,0,1,1,1,1,1,1,1,0,1,1,1,0
65,1,0,1,0,1,1,1,0,1,0,1,0,1,-1,1,0,1,0,1,0,1,1
66,0,0,0,1,0,0,0,1,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0
67,0,0,0,-1,0,-1,0,1,0,0,0,0,0,-1,0,0,0,1,0,-1,0,-1
68,1,0,1,0,1,0,1,0,1,-1,1,0,1,1,1,0,1,0,1,0,1,0
69,1,0,1,0,1,1,1,1,1,0,1,-1,1,1,1,1,1,0,1,0,1,1
70,-1,0,-1,0,-1,-1,-1,-1,-1,0,-1,0,-1,1,-1,0,-1,-1,-1,0,-1,-1
71,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
72,-1,0,-1,1,-1,1,-1,1,-1,0,-1,1,-1,0,-1,1,-1,1,-1,1,-1,1
73,1,0,1,0,1,1,1,0,1,-1,1,1,1,-1,1,0,1,1,1,1,1,1
74,-1,0,-1,1,-1,0,-1,1,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0
75,-1,0,-1,0,-1,1,-1,0,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1
76,1,0,1,0,1,0,1,0,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,0
77,1,0,1,1,1,0,1,0,1,-1,1,0,1,-1,1,0,1,0,1,0,1,0
78,-1,0,-1,0,-1,-1,-1,-1,-1,0,-1,0,-1,1,-1,-1,-1,-1,-1,-1,-1,-1
79,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1
80,1,0,1,0,1,1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,0,1,1
81,1,0,1,0,1,0,1,0,1,-1,1,-1,1,0,1,-1,1,-1,1,-1,1,0
82,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0,0,0,0,-1,0,-1,0,0
83,-1,0,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1
84,-1,0,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
85,-1,0,-1,0,-1,-1,-1,0,-1,0,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
86,-1,0,-1,0,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1
87,-1,0,-1,-1,-1,-1,-1,0,-1,0,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
88,-1,0,-1,0,-1,0,-1,1,-1,1,-1,0,-1,1,-1,1,-1,0,-1,0,-1,0
